region,year,age,city,village
Volynska,1993,30-34,1 016,944
Volynska,1993,35-39,335,330
Volynska,1993,40-44,59,97
Volynska,1993,45-49,0,8
Volynska,1993,50-54,0,0
Volynska,1993,55 and older,0,0
Volynska,1994,before 15,0,0
Volynska,1994,15-19,1 062,1 164
Volynska,1994,20-24,3 116,3 384
Volynska,1994,25-29,1 763,1 665
Volynska,1994,30-34,988,810
Volynska,1994,35-39,295,324
Volynska,1994,40-44,81,108
Volynska,1994,45-49,2,3
Volynska,1994,50-54,0,0
Volynska,1994,55 and older,0,0
Volynska,1995,before 15,2,2
Volynska,1995,15-19,933,1 185
Volynska,1995,20-24,2 838,3 301
Volynska,1995,25-29,1 582,1 535
Volynska,1995,30-34,799,693
Volynska,1995,35-39,299,289
Volynska,1995,40-44,53,77
Volynska,1995,45-49,3,7
Volynska,1995,50-54,0,0
Volynska,1995,55 and older,0,0
Volynska,1996,before 15,0,3
Volynska,1996,15-19,968,1 141
Volynska,1996,20-24,2 738,3 290
Volynska,1996,25-29,1 543,1 589
Volynska,1996,30-34,744,694
Volynska,1996,35-39,309,307
Volynska,1996,40-44,52,78
Volynska,1996,45-49,4,7
Volynska,1996,50-54,0,0
Volynska,1996,55 and older,0,0
Volynska,1997,before 15,0,3
Volynska,1997,15-19,890,1 042
Volynska,1997,20-24,2 752,3 065
Volynska,1997,25-29,1 571,1 539
Volynska,1997,30-34,686,624
Volynska,1997,35-39,298,294
Volynska,1997,40-44,45,82
Volynska,1997,45-49,2,4
Volynska,1997,50-54,0,0
Volynska,1997,55 and older,0,0
Volynska,1998,before 15,1,2
Volynska,1998,15-19,811,1 079
Volynska,1998,20-24,2 501,3 071
Volynska,1998,25-29,1 451,1 667
Volynska,1998,30-34,664,674
Volynska,1998,35-39,259,321
Volynska,1998,40-44,42,67
Volynska,1998,45-49,3,5
Volynska,1998,50-54,0,0
Volynska,1998,55 and older,0,0
Volynska,1999,before 15,0,0
Volynska,1999,15-19,657,925
Volynska,1999,20-24,2 321,2 849
Volynska,1999,25-29,1 388,1 620
Volynska,1999,30-34,672,658
Volynska,1999,35-39,273,280
Volynska,1999,40-44,71,69
Volynska,1999,45-49,4,6
Volynska,1999,50-54,0,0
Volynska,1999,55 and older,0,0
Volynska,2000,before 15,0,0
Volynska,2000,15-19,631,909
Volynska,2000,20-24,2 297,2 899
Volynska,2000,25-29,1 433,1 701
Volynska,2000,30-34,706,690
Volynska,2000,35-39,252,277
Volynska,2000,40-44,56,58
Volynska,2000,45-49,3,6
Volynska,2000,50-54,0,0
Volynska,2000,55 and older,0,0
Volynska,2001,before 15,0,2
Volynska,2001,15-19,551,832
Volynska,2001,20-24,2 252,2 722
Volynska,2001,25-29,1 432,1 680
Volynska,2001,30-34,607,700
Volynska,2001,35-39,232,282
Volynska,2001,40-44,53,67
Volynska,2001,45-49,0,3
Volynska,2001,50-54,0,0
Volynska,2001,55 and older,0,0
Volynska,2002,before 15,0,2
Volynska,2002,15-19,561,819
Volynska,2002,20-24,2 243,2 721
Volynska,2002,25-29,1 536,1 727
Volynska,2002,30-34,703,757
Volynska,2002,35-39,270,263
Volynska,2002,40-44,58,92
Volynska,2002,45-49,3,1
Volynska,2002,50-54,0,0
Volynska,2002,55 and older,0,0
Volynska,2003,before 15,2,0
Volynska,2003,15-19,570,748
Volynska,2003,20-24,2 313,2 700
Volynska,2003,25-29,1 598,1 694
Volynska,2003,30-34,744,811
Volynska,2003,35-39,268,290
Volynska,2003,40-44,55,66
Volynska,2003,45-49,3,1
Volynska,2003,50-54,0,0
Volynska,2003,55 and older,0,0
Volynska,2004,before 15,1,2
Volynska,2004,15-19,574,731
Volynska,2004,20-24,2 531,2 673
Volynska,2004,25-29,1 668,1 804
Volynska,2004,30-34,832,862
Volynska,2004,35-39,297,314
Volynska,2004,40-44,74,84
Volynska,2004,45-49,3,4
Volynska,2004,50-54,0,0
Volynska,2004,55 and older,0,0
Volynska,2005,before 15,1,2
Volynska,2005,15-19,564,686
Volynska,2005,20-24,2 450,2 645
Volynska,2005,25-29,1 852,1 873
Volynska,2005,30-34,899,947
Volynska,2005,35-39,326,339
Volynska,2005,40-44,66,88
Volynska,2005,45-49,3,7
Volynska,2005,50-54,0,0
Volynska,2005,55 and older,0,0
Volynska,2006,before 15,1,2
Volynska,2006,15-19,498,728
Volynska,2006,20-24,2 610,2 712
Volynska,2006,25-29,2 216,2 023
Volynska,2006,30-34,1 007,981
Volynska,2006,35-39,384,377
Volynska,2006,40-44,79,84
Volynska,2006,45-49,6,7
Volynska,2006,50-54,0,0
Volynska,2006,55 and older,0,0
Volynska,2007,before 15,2,0
Volynska,2007,15-19,543,761
Volynska,2007,20-24,2 610,2 743
Volynska,2007,25-29,2 178,2 016
Volynska,2007,30-34,1 098,1 031
Volynska,2007,35-39,373,423
Volynska,2007,40-44,94,99
